risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,33.1294166667,stock,40.0,med_time_horizon,895044c23edc821881e87da749c01034
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,16.5735166667,stock,200.0,short_time_horizon,458b1d95441ced242949deefe8e4b638
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,10.0083666667,stock,25.0,long_time_horizon,c7936f653d293479e034865db9bb932f
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,1.03163333333,stock,100.0,short_time_horizon,b255d4bd6c9ba194d3a350b3e76c6393
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.18725,stock,20.0,long_time_horizon,4a168225e89375b8de605cbc0977ae91
med_risk_tolerance,no_investment_exp,not_important_liq_need,iOS,12.9681166667,stock,100.0,med_time_horizon,0322b1d744cc89ebbe6ebe70d824d922
low_risk_tolerance,good_investment_exp,very_important_liq_need,Android,30.7100833333,stock,5.0,long_time_horizon,f4cac8c1544b723ddedc9bdba81c64c0
high_risk_tolerance,good_investment_exp,somewhat_important_liq_need,iOS,0.0,stock,100.0,short_time_horizon,bdc39d2fc664ef9a5e6713168057f892
high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,5000.0,short_time_horizon,85f2f0f54411b4f3e7a403ba902e7280
med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,2.96961666667,stock,11.0,med_time_horizon,529ddd19dac72d55cde8e633340a9aed
med_risk_tolerance,no_investment_exp,very_important_liq_need,both,9.4436,stock,50.0,short_time_horizon,bf7d43376fee932d78537347beb07e36
high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,3.35893333333,etp,1000.0,long_time_horizon,56bea929bcaeae73d3737a42c02bfc3c
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,74.3467666667,stock,200.0,short_time_horizon,b63f1ab8005b313815f116ea99ae1864
high_risk_tolerance,no_investment_exp,somewhat_important_liq_need,iOS,0.987966666667,stock,3000.0,med_time_horizon,3bc30bf7afa2a7ef04bb7d8f9742d752
med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,4.52153333333,adr,5000.0,long_time_horizon,51a4ce44d4bc392a4a2db226308e8d0b
high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,4.55301666667,wrt,10.0,med_time_horizon,064ecf3e3a66c362fa52807411ced374
high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,0.0,stock,40.0,short_time_horizon,50cf51b304d3dd9796063cf7b8221ada
high_risk_tolerance,no_investment_exp,very_important_liq_need,Android,19.8825,stock,100.0,short_time_horizon,385e0cebee45e07eb97304f03a093529
high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,150.0,short_time_horizon,bb70182208e73de1dccc347d098b4292
low_risk_tolerance,no_investment_exp,very_important_liq_need,both,0.0,stock,50.0,med_time_horizon,44daa41022383125d36277779c8e8f85
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,0.493266666667,etp,500.0,med_time_horizon,d2723168844432c5186a702aae7e58fa
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.54966666667,stock,10.0,short_time_horizon,3d8664d2b058d4796589a4dbedcc1a48
high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,0.0,stock,1000.0,short_time_horizon,72332b7f69aa4e58ae7b3d3737d79b41
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,18.1116166667,stock,200.0,short_time_horizon,62b104513b4eb94f9464b6da36d00c46
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,0.0,stock,250.0,long_time_horizon,a78ceddff542a102b31cff689a618d86
med_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,21.4719833333,adr,25.0,short_time_horizon,c96724b6ba588a8ebaa00e44f48d599f
high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,19.1435833333,stock,10.0,long_time_horizon,013af61a0a1c2cbef974b88fd4cd8b34
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,4.71173333333,stock,50.0,short_time_horizon,8c41f7ac77c5487dc61a1bc7754c1f1b
high_risk_tolerance,no_investment_exp,very_important_liq_need,Android,12.3519666667,stock,100.0,short_time_horizon,fadd47d24759e87fe4e6dc49800d314e
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,14.8278833333,stock,200.0,short_time_horizon,0c2cc46a5d5eeedd3a2c54e59b15e01a
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,52.5490166667,stock,10.0,long_time_horizon,0aed336cdbbd2e9e664d053d877678c8
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,0.0,stock,100.0,long_time_horizon,c840d6ccb5a43a68312e3ae11ee1ac6a
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,17.97345,stock,100.0,short_time_horizon,209cbf0d52efd985e9a15aad05ee1e3a
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,11.9484166667,stock,50.0,short_time_horizon,44a2d398d8783c29f605f3528b6f5eb7
high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,2.36883333333,stock,500.0,med_time_horizon,253352d8347caa7f3de8bb1096df9a4f
med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,35.7030833333,stock,50.0,short_time_horizon,e856013301948923da8a7ee15b34ba62
high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,5.04601666667,stock,1000.0,med_time_horizon,04c47852fa5831f191b831e221d2619a
high_risk_tolerance,limited_investment_exp,somewhat_important_liq_need,iOS,71.8712833333,stock,100.0,med_time_horizon,536b742882c3d61b4aa4b123594fb769
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,0.668,stock,60.0,long_time_horizon,537a299337df9e671c1918aca7dd64cf
high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,1000.0,long_time_horizon,b3c8ac89ab421e27d0d8da0d278bc638
high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,6.58586666667,stock,50.0,short_time_horizon,e5ba46f1ff7c44025a2048b70e12ce52
low_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,89.7789333333,stock,20.0,short_time_horizon,7fa9742f1f7874003e5083aa143b48a1
high_risk_tolerance,limited_investment_exp,somewhat_important_liq_need,iOS,2.23576666667,mlp,150.0,long_time_horizon,49244824562c2d157846334ab995af29
med_risk_tolerance,limited_investment_exp,not_important_liq_need,iOS,1.28068333333,stock,39.0,short_time_horizon,1d7753decc8ab644e8b03b79d6f43eaa
med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,5.32683333333,stock,200.0,short_time_horizon,5761fd7c2bd8ace1e71fcf289d12ab94
high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,35.1944333333,stock,25.0,med_time_horizon,ae4a8561d493e59044a604afc9373649
med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,28.9948833333,stock,10.0,short_time_horizon,add434bc47375ae53743a6b56e2c63df
