business_id,name,categories,avg_stars
vJIuDBdu01vCA8y1fwR1OQ,CakesbyToi,"American (Traditional), Food, Bakeries, Restaurants",1.5
kgffcoxT6BQp-gJ-UQ7Czw,Subway,"Fast Food, Restaurants, Sandwiches",2.5
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,"Beer, Wine & Spirits, Italian, Food, American (Traditional), Breakfast & Brunch, Restaurants",4.0
JJEx5wIqs9iGGATOagE8Sg,Baja Fresh Mexican Grill,"Mexican, Restaurants",2.0
zhxnD7J5_sCrKSw5cwI9dQ,Popeyes Louisiana Kitchen,"Chicken Wings, Restaurants, Fast Food",1.5
2kWrSFkIes_d2BMg4YrRtA,Pizza Hut,"Restaurants, Pizza",2.5
6llKs7K_tn8ChXcIM-oTvg,Sansei Japan,"Japanese, Restaurants",4.5
YV9GVfmDSDM7HSV0jVdTOA,El Pollo Loco,"Restaurants, Salad, Fast Food, Mexican",3.0
F7OsiFk9aLZtqZczA84xpw,Popeyes Louisiana Kitchen,"Southern, Chicken Wings, Fast Food, American (Traditional), Restaurants",2.0
XeDLyY2a7nZ3IEY4RYslXA,Chicago Brewing Company,"American (New), Restaurants, Food, Breweries, Brewpubs",3.5
MDVbJicJvqaO4WGx0vEabQ,Chili's,"Bars, American (Traditional), Nightlife, Restaurants, Tex-Mex",3.0
sOkQ2Y1-D8h18oN5NgxuLg,Haddies Car Wash and Convenience store,"Car Wash, Delis, Convenience Stores, Food, Restaurants, Automotive",5.0
lv5Bnqlt93NnvNJ2oNcQ8Q,Los Cucos Mexican Cafe,"Restaurants, Bars, Nightlife, Caterers, Mexican, Tex-Mex, Event Planning & Services",4.0
D1TaFES4phv65RmsM8VCiA,Domino's Pizza,"Pizza, Sandwiches, Restaurants, Chicken Wings",2.5
glkEaoxbewiSMBiXs945JA,800 Degrees,"Pizza, Food, Restaurants",3.5
lYCeqldIiOggsbByH3RRhw,Metro Pizza,"Pizza, Restaurants",2.5
juuv0QPE_MfnVjevQTpCDg,Manhattan Streets,"Hot Dogs, Food, Restaurants",3.5
DbK9fyJq4O4zfT1jv6JOhw,Pam Real Thai Las Vegas,"Restaurants, Food, Food Delivery Services, Thai",4.0
PChG1Dm0A6AXIXkXGVK8Fw,Sasa Sushi,"Japanese, Sushi Bars, Restaurants",4.0
owxcYAUca_6K6BAUX4V48w,D'Pinoy Joint,"Filipino, Restaurants",4.5
WSGHEQdcdbBWXDpna99EiQ,Teriyaki Madness,"Japanese, Hawaiian, Restaurants, Asian Fusion",3.5
0aDCv4zPhzy7RklHDrnKQg,Lucie's Lounge,"Bars, Restaurants, Nightlife, Dive Bars, Lounges, Pizza, Karaoke",4.0
rWkQMRI6PRo5woBaxGD68g,Viva Café Espresso Bar,"Bagels, Coffee & Tea, Cafes, Restaurants, Food",4.0
Kx0MUrNQ737s-VVElk6Vig,Las Delicias De Las Vegas,"Restaurants, Mexican",4.0
FW_zg6VuyW5v_vM394gWAw,Rocco's NY Pizzeria,"Restaurants, Italian, Pizza, Food",3.5
r8Jr-7YfkhJL2nxk9lxUNg,Frank & Fina's Cocina,"Mexican, Restaurants",4.0
yUqJReOv26454QkjGz37Yw,Shobu,"Japanese, Sushi Bars, Karaoke, Nightlife, Restaurants",4.0
NGp1HTYrPg3pMP-tXeLf-g,Fatburger,"Burgers, American (Traditional), Fast Food, Restaurants",2.5
kDZm3fZcLhotRwC50XE_qg,Super B Burrito,"Mexican, Restaurants",4.0
stbX9rtRIpDF-VymOwHJ8w,Nu Sanctuary Lounge,"Hookah Bars, Bars, Mediterranean, Nightlife, American (New), Restaurants, American (Traditional)",2.5
cQzFj5GNz8l_VMJJnW4mLw,The Edge of Town,"American (Traditional), Restaurants",3.5
YYRP-b61hjDljhWBfmUlDg,KFC,"Restaurants, Chicken Wings, Fast Food, Chicken Shop",2.0
oJ7mF-fW8GuEoUZ8BSA37Q,Aquatic Treasures,"Pet Services, Shopping, Aquariums, Restaurants, Pets, Pet Stores, Active Life, Seafood, Aquarium Services, Hobby Shops, Local Fish Stores",4.5
dn_ipqbm7_jUz5X3rDez_A,Todd English P.U.B.,"Beer, Wine & Spirits, British, Nightlife, Bars, Restaurants, Gastropubs, Food",3.5
ZosrzTfiiPhbURA04AQTUA,Pyramid Cafe,"Diners, Sandwiches, Restaurants, Burgers",3.0
qrjRRBOUmN7MFxBQNuJZIA,Checkers,"Hot Dogs, Fast Food, Restaurants, Burgers",2.0
5yZ1XmDcOEsElDeb9PlPDQ,Yagyu Ramen,"Restaurants, Japanese, Ramen",4.0
joykx2LTxkBKvh-fEk4aKw,Lucio Ristorante,"Italian, Restaurants",2.0
FbayoQWK77lRJ7Luo2WKlA,Panda Express,"Event Planning & Services, Caterers, Chinese, Restaurants",2.0
2QznyHGF0PuiYkrl5RU66A,Playa Papagayos,"Seafood, Restaurants, Bars, Nightlife, Beer Bar, Mexican",4.5
3Nx9NCzMTXC6jFgdk2mDGg,Charlie's Market Buffet,"Restaurants, Buffets, Burgers, Delis, Breakfast & Brunch, Salad, Seafood",2.5
lYlVsbhDrglWDdhh7OTM2w,Rendezvous Cafe,Restaurants,4.5
LPnbHWVedn2oX3WGkHOJSQ,Jason's Deli,"Salad, Delis, Restaurants, Event Planning & Services, Sandwiches, Caterers",3.5
GH5gbLHw05toW6ePNIUzTw,Los Toritos Express,"Mexican, Restaurants",4.0
aF6cB7BtV3lXQhJoLuESGw,La Mojarra Loca,"Seafood, Restaurants, Mexican",4.0
ibFdignja_hNpgCjDYP7Ug,Wahoo's Fish Tacos,"Seafood, Restaurants, Mexican, Gluten-Free",4.0
HV2vPReKp0n0E6zgjsu4Mg,Garnachas Mexican Street Food,"Beer, Wine & Spirits, Restaurants, Food, Mexican",4.5
tzoUxh1HXllUijtAkO6w0Q,Peking Express Chinese Restaurant,"Cantonese, Restaurants, Chinese",2.5
G8SFOD9TKCSic2o0hyKc0Q,Ace Of Steaks,"Steakhouses, Restaurants, Kosher, Persian/Iranian",4.5
GvSb0uWmBsB58jbzpogciQ,Tina's Gourmet Sausage House,"Grocery, Delis, German, Butcher, Meat Shops, International Grocery, Food, Specialty Food, Restaurants",4.5
3-Bm90nXNtwLFyDtlj9olQ,Myung Sung,"Do-It-Yourself Food, Food, Restaurants, Korean",4.0
H99aadKfIQ3RZ6joDn7FuQ,Subway,"Food, Fast Food, Restaurants, Sandwiches",3.0
RMXjpVB2eg8srPIIdWGLsw,Taste My Love,"American (Traditional), Restaurants",4.5
Z5eukYH32_nFljOTC2DJ0g,Grimaldi's Pizzeria,"Pizza, Restaurants",4.0
TDTASGFy_aGp6vy0i23mDA,Jack in the Box,"Restaurants, Fast Food",3.0
pybIuTluqRhH_BQ3CJHlLw,Pin Kaow Thai,"Thai, Restaurants",3.5
mkZFZkuue9am7PRp9dt1jA,La Original Michoacana,"Food, Burgers, Restaurants, Desserts, Mexican",3.0
f4vb5tv60WaBcwzRhKpANA,Nanny's,"French, Restaurants, Sandwiches, Breakfast & Brunch",4.5
wYEAocX0vkcGN-i5rSszrg,El Patron Mexican Restaurant & Oyster Bar,"Mexican, Restaurants, Seafood",3.5
kcxD07NmyWxAHvrzS7LD8A,Love Empanadas,"Restaurants, Ethnic Food, Latin American, Specialty Food, Food",5.0
7qFtiPg0gdbk911_mj6LoA,The Broiler,"Steakhouses, Restaurants, Seafood, Buffets",4.0
YHN7wVaOFp9wkl_w7NXLXw,Kens Burgers and Pizza,"Pizza, Burgers, Restaurants",1.0
ZtdCS8XjmL4P6BvMOIQWag,Zaba's Mexican Grill,"Restaurants, Mexican",3.5
KSkjE3krqsovBs7iC4x7ng,Denny's,"Diners, Restaurants, American (Traditional), Breakfast & Brunch",3.0
KjV_68oLLSpqR96VnV68tw,Roberto's Taco Shop,"Restaurants, Fast Food, Mexican",2.5
JWN22sQ7cl9KjmIk0nMbUg,Taco Bell,"Restaurants, Fast Food, Tex-Mex, Mexican",2.0
Vn-Xqc1qkF1Vh2Z-wHkBVw,Bagels And Subs,"Breakfast & Brunch, Restaurants, Sandwiches, American (New)",4.5
oL_fYqSHG63vR0TBMyoo_A,Green Leaf's & Bananas,"Juice Bars & Smoothies, Salad, Soup, Ice Cream & Frozen Yogurt, Restaurants, Food",2.0
Oqqnw0Rz77sMDPHS_eN2aA,Jersey Mike's Subs,"Delis, Fast Food, Restaurants, Sandwiches",4.0
O7godQv-9pyQJ2JvCMiQjw,Tokyo Peking Asian Restaurant,"Japanese, Restaurants, Asian Fusion, Sushi Bars, Salad",4.0
MsQTe82TCbZXDPG4LOgVoA,Port of Subs,"Delis, Restaurants, Sandwiches",3.0
OM31QC8tyTOXZgK0FDz_hw,Del Taco,"Restaurants, Mexican",3.0
wWuGa3OOQJro_XGe-GKBXA,Kabuto,"Japanese, Sushi Bars, Restaurants",4.5
