funnel_search_id,created_at,tasker_id,position,hourly_rate,num_completed_tasks,hired,category
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009185352,1,38,151,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1006892359,2,40,193,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1012023956,3,28,0,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009733517,4,43,303,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1013579273,5,29,39,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1012043028,6,28,2,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1013470741,7,29,9,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009557645,8,29,8,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1010800768,9,28,0,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009072269,10,35,59,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1008733253,11,40,68,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009198916,12,27,17,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1009856900,13,50,914,1,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1012314913,14,29,5,0,Furniture Assembly
0-0-70cf97d7-37af-4834-901c-ce3ad4893b8c,9/1/17 0:32,1013307670,15,25,0,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1009185352,1,38,151,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1013579273,2,29,39,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1012023956,3,28,0,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1012043028,4,28,2,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1013470741,5,29,9,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1009557645,6,29,8,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1009072269,7,35,59,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1008733253,8,40,68,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1009198916,9,27,17,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1009856900,10,50,914,1,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1012314913,11,29,5,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1007558398,12,50,75,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1014501186,13,29,4,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1014508755,14,48,107,0,Furniture Assembly
0-0-cdb916a3-2b2d-4e46-941b-3146c0b12132,9/1/17 0:32,1013307670,15,25,0,0,Furniture Assembly
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1014201297,1,49,61,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1013172333,2,30,1,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1011985968,3,32,0,1,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1014725966,4,60,136,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1012007145,5,32,0,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1010630139,6,70,121,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1014983247,7,65,49,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1010118053,8,70,7,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1009004974,9,85,49,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1012137181,10,85,8,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1009114267,11,95,1053,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1009684274,12,90,31,0,Moving Help
0-0-653cb826-b672-4ddb-92a5-c0e77402a320,9/1/17 0:33,1009442527,13,95,266,0,Moving Help
